param	prob	nSim	combination	correct_inference
rInfSC	0.252819715808171	312	flu	correct
data	0.81032973286466	312	flu	correct
alpha	0.223401420959147	313	flu	correct
beta	0.237388987566607	313	flu	correct
rSC	0.236323268206039	313	flu	correct
rInfSC	0.250510657193606	313	flu	correct
data	0.809105862462828	313	flu	correct
alpha	0.243983126110124	314	flu	correct
beta	0.241585257548845	314	flu	correct
rSC	0.23214920071048	314	flu	correct
rInfSC	0.239897868561279	314	flu	correct
data	0.808319003667186	314	flu	correct
alpha	0.309458259325044	315	flu	correct
beta	0.234946714031972	315	flu	correct
rSC	0.228907637655417	315	flu	correct
rInfSC	0.248157193605684	315	flu	correct
data	0.806670371685701	315	flu	correct
alpha	0.209391651865009	316	flu	correct
beta	0.24107460035524	316	flu	correct
rSC	0.239986678507993	316	flu	correct
rInfSC	0.247557726465364	316	flu	correct
data	0.809348917979765	316	flu	correct
alpha	0.243272646536412	317	flu	correct
beta	0.235701598579041	317	flu	correct
rSC	0.234591474245115	317	flu	correct
rInfSC	0.244249555950266	317	flu	correct
data	0.807280024690069	317	flu	correct
alpha	0.216341030195382	318	flu	correct
beta	0.248112788632327	318	flu	correct
rSC	0.244360568383659	318	flu	correct
rInfSC	0.254107460035524	318	flu	correct
data	0.812246657199755	318	flu	correct
alpha	0.212233570159858	319	flu	correct
beta	0.248889875666075	319	flu	correct
rSC	0.25104351687389	319	flu	correct
rInfSC	0.267317939609236	319	flu	correct
data	0.810404279448394	319	flu	correct
alpha	0.263210479573712	32	flu	correct
beta	0.249578152753108	32	flu	correct
rSC	0.244182948490231	32	flu	correct
rInfSC	0.253152753108348	32	flu	correct
data	0.811110233829255	32	flu	correct
alpha	0.258015097690941	320	flu	correct
beta	0.240541740674956	320	flu	correct
rSC	0.23436944937833	320	flu	correct
rInfSC	0.252952930728242	320	flu	correct
data	0.807177425398625	320	flu	correct
alpha	0.187677619893428	321	flu	correct
beta	0.248246003552398	321	flu	correct
rSC	0.246269982238011	321	flu	correct
rInfSC	0.259413854351687	321	flu	correct
data	0.812404981416909	321	flu	correct
alpha	0.325532859680284	322	flu	correct
beta	0.237988454706927	322	flu	correct
rSC	0.237388987566607	322	flu	correct
rInfSC	0.243361456483126	322	flu	correct
data	0.805715632663917	322	flu	correct
alpha	0.314831261101243	323	flu	correct
beta	0.240364120781528	323	flu	correct
rSC	0.2425621669627	323	flu	correct
rInfSC	0.251309946714032	323	flu	correct
data	0.807399163598199	323	flu	correct
alpha	0.242007104795737	324	flu	correct
beta	0.240430728241563	324	flu	correct
rSC	0.232682060390764	324	flu	correct
rInfSC	0.249800177619893	324	flu	correct
data	0.809619064381843	324	flu	correct
alpha	0.189609236234458	325	flu	correct
beta	0.252331261101243	325	flu	correct
rSC	0.251110124333925	325	flu	correct
rInfSC	0.256904973357016	325	flu	correct
data	0.81143773093921	325	flu	correct
alpha	0.248445825932504	326	flu	correct
beta	0.238299289520426	326	flu	correct
rSC	0.231150088809947	326	flu	correct
rInfSC	0.245959147424512	326	flu	correct
data	0.807097426974213	326	flu	correct
alpha	0.286567495559503	327	flu	correct
beta	0.238654529307282	327	flu	correct
rSC	0.233814387211368	327	flu	correct
rInfSC	0.243827708703375	327	flu	correct
data	0.806660504947983	327	flu	correct
alpha	0.256949378330373	328	flu	correct
beta	0.240341918294849	328	flu	correct
rSC	0.239698046181172	328	flu	correct
rInfSC	0.243516873889876	328	flu	correct
data	0.806926002906321	328	flu	correct
alpha	0.246669626998224	329	flu	correct
beta	0.245048845470693	329	flu	correct
rSC	0.239564831261101	329	flu	correct
rInfSC	0.250133214920071	329	flu	correct
data	0.809630800090735	329	flu	correct
alpha	0.316185612788632	33	flu	correct
beta	0.24063055062167	33	flu	correct
rSC	0.239253996447602	33	flu	correct
rInfSC	0.248845470692718	33	flu	correct
data	0.806769871225577	33	flu	correct
alpha	0.314742451154529	330	flu	correct
beta	0.233747779751332	330	flu	correct
rSC	0.222269094138544	330	flu	correct
rInfSC	0.24582593250444	330	flu	correct
data	0.80503936931907	330	flu	correct
alpha	0.261323268206039	331	flu	correct
beta	0.230639431616341	331	flu	correct
rSC	0.229329484902309	331	flu	correct
rInfSC	0.242761989342806	331	flu	correct
data	0.807072221285864	331	flu	correct
alpha	0.269160746003552	332	flu	correct
beta	0.237144760213144	332	flu	correct
rSC	0.229218472468917	332	flu	correct
rInfSC	0.239853463587922	332	flu	correct
data	0.806254482221827	332	flu	correct
alpha	0.307282415630551	333	flu	correct
beta	0.243117229129663	333	flu	correct
rSC	0.231238898756661	333	flu	correct
rInfSC	0.243561278863233	333	flu	correct
data	0.807421829443619	333	flu	correct
alpha	0.215253108348135	334	flu	correct
beta	0.249777975133215	334	flu	correct
rSC	0.240119893428064	334	flu	correct
rInfSC	0.252153641207815	334	flu	correct
data	0.811103236531695	334	flu	correct
alpha	0.425288632326821	335	flu	correct
beta	0.222313499111901	335	flu	correct
rSC	0.22009325044405	335	flu	correct
rInfSC	0.231527531083481	335	flu	correct
data	0.801728528889353	335	flu	correct
alpha	0.213632326820604	336	flu	correct
beta	0.237455595026643	336	flu	correct
rSC	0.234635879218472	336	flu	correct
rInfSC	0.250532859680284	336	flu	correct
data	0.80934952214648	336	flu	correct
alpha	0.21294404973357	337	flu	correct
beta	0.235279751332149	337	flu	correct
rSC	0.238476909413854	337	flu	correct
rInfSC	0.246980461811723	337	flu	correct
data	0.81100922554574	337	flu	correct
alpha	0.244582593250444	338	flu	correct
beta	0.241718472468917	338	flu	correct
rSC	0.24300621669627	338	flu	correct
rInfSC	0.25104351687389	338	flu	correct
data	0.809234303807244	338	flu	correct
alpha	0.200621669626998	339	flu	correct
beta	0.240563943161634	339	flu	correct
rSC	0.246469804618117	339	flu	correct
rInfSC	0.259325044404973	339	flu	correct
data	0.809655670034023	339	flu	correct
alpha	0.265608348134991	34	flu	correct
beta	0.234436056838366	34	flu	correct
rSC	0.231793960923623	34	flu	correct
rInfSC	0.246758436944938	34	flu	correct
data	0.806585595690166	34	flu	correct
alpha	0.252553285968028	340	flu	correct
beta	0.234769094138544	340	flu	correct
rSC	0.233592362344583	340	flu	correct
rInfSC	0.248601243339254	340	flu	correct
data	0.808296619875096	340	flu	correct
alpha	0.255528419182948	341	flu	correct
beta	0.234480461811723	341	flu	correct
rSC	0.236545293072824	341	flu	correct
rInfSC	0.241785079928952	341	flu	correct
data	0.80709831895458	341	flu	correct
alpha	0.263787744227353	342	flu	correct
beta	0.240852575488455	342	flu	correct
rSC	0.245315275310835	342	flu	correct
rInfSC	0.249911190053286	342	flu	correct
data	0.808859635645645	342	flu	correct
alpha	0.254262877442274	343	flu	correct
beta	0.238698934280639	343	flu	correct
rSC	0.235723801065719	343	flu	correct
rInfSC	0.246092362344583	343	flu	correct
data	0.808855667203626	343	flu	correct
alpha	0.250777087033748	344	flu	correct
beta	0.23765541740675	344	flu	correct
rSC	0.233459147424512	344	flu	correct
rInfSC	0.242340142095915	344	flu	correct
data	0.808234546159955	344	flu	correct
alpha	0.279840142095915	345	flu	correct
beta	0.242162522202487	345	flu	correct
rSC	0.230528419182949	345	flu	correct
rInfSC	0.248223801065719	345	flu	correct
data	0.807860126143208	345	flu	correct
alpha	0.25341918294849	346	flu	correct
beta	0.243539076376554	346	flu	correct
rSC	0.255905861456483	346	flu	correct
rInfSC	0.248778863232682	346	flu	correct
data	0.809557333542339	346	flu	correct
alpha	0.204218472468917	347	flu	correct
beta	0.24702486678508	347	flu	correct
rSC	0.244871225577265	347	flu	correct
rInfSC	0.256061278863233	347	flu	correct
data	0.810519446263088	347	flu	correct
alpha	0.248534635879218	348	flu	correct
beta	0.235457371225577	348	flu	correct
rSC	0.240230905861456	348	flu	correct
rInfSC	0.245448490230906	348	flu	correct
data	0.808725400049823	348	flu	correct
alpha	0.296292184724689	349	flu	correct
beta	0.234502664298401	349	flu	correct
rSC	0.232460035523979	349	flu	correct
rInfSC	0.247380106571936	349	flu	correct
data	0.805013618880781	349	flu	correct
alpha	0.233170515097691	35	flu	correct
beta	0.24151865008881	35	flu	correct
rSC	0.238365896980462	35	flu	correct
rInfSC	0.249200710479574	35	flu	correct
data	0.808527157011458	35	flu	correct
alpha	0.193761101243339	350	flu	correct
beta	0.245714920071048	350	flu	correct
rSC	0.248934280639432	350	flu	correct
rInfSC	0.245293072824156	350	flu	correct
data	0.810779930019592	350	flu	correct
alpha	0.325199822380107	351	flu	correct
beta	0.237100355239787	351	flu	correct
rSC	0.232304618117229	351	flu	correct
rInfSC	0.241007992895204	351	flu	correct
data	0.804906142507158	351	flu	correct
alpha	0.227331261101243	352	flu	correct
beta	0.243516873889876	352	flu	correct
rSC	0.245404085257549	352	flu	correct
rInfSC	0.24718028419183	352	flu	correct
data	0.808198348930612	352	flu	correct
alpha	0.270714920071048	353	flu	correct
beta	0.238721136767318	353	flu	correct
rSC	0.231749555950266	353	flu	correct
rInfSC	0.248312611012433	353	flu	correct
data	0.807064048546709	353	flu	correct
alpha	0.227486678507993	354	flu	correct
beta	0.239342806394316	354	flu	correct
rSC	0.235834813499112	354	flu	correct
rInfSC	0.244782415630551	354	flu	correct
data	0.808278134248918	354	flu	correct
alpha	0.225754884547069	355	flu	correct
beta	0.241429840142096	355	flu	correct
rSC	0.25044404973357	355	flu	correct
rInfSC	0.246092362344583	355	flu	correct
data	0.808659014827042	355	flu	correct
alpha	0.261989342806394	356	flu	correct
beta	0.246780639431616	356	flu	correct
rSC	0.241607460035524	356	flu	correct
rInfSC	0.256216696269982	356	flu	correct
data	0.809184680757705	356	flu	correct
alpha	0.32990674955595	357	flu	correct
beta	0.231571936056838	357	flu	correct
rSC	0.230572824156306	357	flu	correct
rInfSC	0.243561278863233	357	flu	correct
data	0.804792805433935	357	flu	correct
alpha	0.189276198934281	358	flu	correct
beta	0.253063943161634	358	flu	correct
rSC	0.249866785079929	358	flu	correct
rInfSC	0.253396980461812	358	flu	correct
data	0.814359589729856	358	flu	correct
alpha	0.192251332149201	359	flu	correct
beta	0.251753996447602	359	flu	correct
rSC	0.238143872113677	359	flu	correct
rInfSC	0.257726465364121	359	flu	correct
data	0.814134419652939	359	flu	correct
alpha	0.220293072824156	36	flu	correct
beta	0.247424511545293	36	flu	correct
rSC	0.241230017761989	36	flu	correct
rInfSC	0.255928063943162	36	flu	correct
data	0.81127773954662	36	flu	correct
alpha	0.268294849023091	360	flu	correct
beta	0.238809946714032	360	flu	correct
rSC	0.233614564831261	360	flu	correct
rInfSC	0.243206039076377	360	flu	correct
data	0.807209300327237	360	flu	correct
alpha	0.245137655417407	361	flu	correct
beta	0.237366785079929	361	flu	correct
rSC	0.230306394316163	361	flu	correct
rInfSC	0.249089698046181	361	flu	correct
data	0.808690760588355	361	flu	correct
alpha	0.304396092362345	362	flu	correct
beta	0.233903197158082	362	flu	correct
rSC	0.237433392539964	362	flu	correct
rInfSC	0.248867673179396	362	flu	correct
data	0.805409490079479	362	flu	correct
alpha	0.204551509769094	363	flu	correct
beta	0.24449378330373	363	flu	correct
rSC	0.239564831261101	363	flu	correct
rInfSC	0.25803730017762	363	flu	correct
data	0.810522179843916	363	flu	correct
alpha	0.230550621669627	364	flu	correct
beta	0.237233570159858	364	flu	correct
rSC	0.237566607460036	364	flu	correct
rInfSC	0.256483126110124	364	flu	correct
data	0.80904624894298	364	flu	correct
alpha	0.29031971580817	365	flu	correct
beta	0.237855239786856	365	flu	correct
rSC	0.245914742451155	365	flu	correct
rInfSC	0.247491119005329	365	flu	correct
data	0.809191073322702	365	flu	correct
alpha	0.21234458259325	366	flu	correct
beta	0.244094138543517	366	flu	correct
rSC	0.239320603907638	366	flu	correct
rInfSC	0.257082593250444	366	flu	correct
data	0.809882092108602	366	flu	correct
alpha	0.188232682060391	367	flu	correct
beta	0.245048845470693	367	flu	correct
rSC	0.243183836589698	367	flu	correct
rInfSC	0.249644760213144	367	flu	correct
data	0.81109468494962	367	flu	correct
alpha	0.247890763765542	368	flu	correct
beta	0.238809946714032	368	flu	correct
rSC	0.24718028419183	368	flu	correct
rInfSC	0.251665186500888	368	flu	correct
data	0.808570670847241	368	flu	correct
alpha	0.281016873889876	369	flu	correct
beta	0.238277087033748	369	flu	correct
rSC	0.240208703374778	369	flu	correct
rInfSC	0.244893428063943	369	flu	correct
data	0.807827360454458	369	flu	correct
alpha	0.224822380106572	37	flu	correct
beta	0.243738898756661	37	flu	correct
rSC	0.250377442273535	37	flu	correct
rInfSC	0.250754884547069	37	flu	correct
data	0.809768573072743	37	flu	correct
alpha	0.342650976909414	370	flu	correct
beta	0.232371225577265	370	flu	correct
rSC	0.222424511545293	370	flu	correct
rInfSC	0.251221136767318	370	flu	correct
data	0.805147390548837	370	flu	correct
alpha	0.258858792184725	371	flu	correct
beta	0.232460035523979	371	flu	correct
rSC	0.234835701598579	371	flu	correct
rInfSC	0.241762877442274	371	flu	correct
data	0.807755989010713	371	flu	correct
alpha	0.336123445825933	372	flu	correct
beta	0.227642095914742	372	flu	correct
rSC	0.219760213143872	372	flu	correct
rInfSC	0.237189165186501	372	flu	correct
data	0.803840819686585	372	flu	correct
alpha	0.255284191829485	373	flu	correct
beta	0.245182060390764	373	flu	correct
rSC	0.241696269982238	373	flu	correct
rInfSC	0.253063943161634	373	flu	correct
data	0.8092534987158	373	flu	correct
alpha	0.229862344582593	374	flu	correct
beta	0.24791296625222	374	flu	correct
rSC	0.248801065719361	374	flu	correct
rInfSC	0.249866785079929	374	flu	correct
data	0.810361961592946	374	flu	correct
alpha	0.24404973357016	375	flu	correct
beta	0.238610124333925	375	flu	correct
rSC	0.24895648312611	375	flu	correct
rInfSC	0.253596802841918	375	flu	correct
data	0.808912801817421	375	flu	correct
alpha	0.239764653641208	376	flu	correct
beta	0.241030195381883	376	flu	correct
rSC	0.241341030195382	376	flu	correct
rInfSC	0.250799289520426	376	flu	correct
data	0.81003370682992	376	flu	correct
alpha	0.262366785079929	377	flu	correct
beta	0.236656305506217	377	flu	correct
rSC	0.234613676731794	377	flu	correct
rInfSC	0.249023090586146	377	flu	correct
data	0.809418660222514	377	flu	correct
alpha	0.25832593250444	378	flu	correct
beta	0.24211811722913	378	flu	correct
rSC	0.235590586145648	378	flu	correct
rInfSC	0.248112788632327	378	flu	correct
data	0.806655189016491	378	flu	correct
alpha	0.246891651865009	379	flu	correct
beta	0.237122557726465	379	flu	correct
rSC	0.241096802841918	379	flu	correct
rInfSC	0.244316163410302	379	flu	correct
data	0.808196908742267	379	flu	correct
alpha	0.255928063943162	38	flu	correct
beta	0.234946714031972	38	flu	correct
rSC	0.240985790408526	38	flu	correct
rInfSC	0.249888987566607	38	flu	correct
data	0.808767839780939	38	flu	correct
alpha	0.226420959147425	380	flu	correct
beta	0.239786856127886	380	flu	correct
rSC	0.241163410301954	380	flu	correct
rInfSC	0.244693605683837	380	flu	correct
data	0.80941990330698	380	flu	correct
alpha	0.312899644760213	381	flu	correct
beta	0.242473357015986	381	flu	correct
rSC	0.240230905861456	381	flu	correct
rInfSC	0.253063943161634	381	flu	correct
data	0.807104473866754	381	flu	correct
alpha	0.214054174067496	382	flu	correct
beta	0.247757548845471	382	flu	correct
rSC	0.253841030195382	382	flu	correct
rInfSC	0.262366785079929	382	flu	correct
data	0.812885912399071	382	flu	correct
alpha	0.266851687388988	383	flu	correct
beta	0.239498223801066	383	flu	correct
rSC	0.237966252220249	383	flu	correct
rInfSC	0.246070159857904	383	flu	correct
data	0.808606746420877	383	flu	correct
alpha	0.243294849023091	384	flu	correct
beta	0.230839253996448	384	flu	correct
rSC	0.232504440497336	384	flu	correct
rInfSC	0.239298401420959	384	flu	correct
data	0.806839587712534	384	flu	correct
alpha	0.217362344582593	385	flu	correct
beta	0.238632326820604	385	flu	correct
rSC	0.235901420959147	385	flu	correct
rInfSC	0.248978685612789	385	flu	correct
data	0.809980163000099	385	flu	correct
alpha	0.2449378330373	386	flu	correct
beta	0.235279751332149	386	flu	correct
rSC	0.233880994671403	386	flu	correct
rInfSC	0.248001776198934	386	flu	correct
data	0.807138330093757	386	flu	correct
alpha	0.331483126110124	387	flu	correct
beta	0.235235346358792	387	flu	correct
rSC	0.235102131438721	387	flu	correct
rInfSC	0.2425621669627	387	flu	correct
data	0.80689509703423	387	flu	correct
alpha	0.19642539964476	388	flu	correct
beta	0.250199822380107	388	flu	correct
rSC	0.252864120781528	388	flu	correct
rInfSC	0.257682060390764	388	flu	correct
data	0.812127426692842	388	flu	correct
alpha	0.273867673179396	389	flu	correct
beta	0.236412078152753	389	flu	correct
rSC	0.23408081705151	389	flu	correct
rInfSC	0.23898756660746	389	flu	correct
data	0.807806806126325	389	flu	correct
alpha	0.279595914742451	39	flu	correct
beta	0.235612788632327	39	flu	correct
rSC	0.239853463587922	39	flu	correct
rInfSC	0.244693605683837	39	flu	correct
data	0.806604104142423	39	flu	correct
alpha	0.232126998223801	390	flu	correct
beta	0.243072824156306	390	flu	correct
rSC	0.230261989342806	390	flu	correct
rInfSC	0.250022202486679	390	flu	correct
data	0.809682498078753	390	flu	correct
alpha	0.236523090586146	391	flu	correct
beta	0.236056838365897	391	flu	correct
rSC	0.232126998223801	391	flu	correct
rInfSC	0.250088809946714	391	flu	correct
data	0.80845811373086	391	flu	correct
alpha	0.297957371225577	392	flu	correct
beta	0.233170515097691	392	flu	correct
rSC	0.23765541740675	392	flu	correct
rInfSC	0.239476021314387	392	flu	correct
data	0.80840363481309	392	flu	correct
alpha	0.224666962699822	393	flu	correct
beta	0.244382770870337	393	flu	correct
rSC	0.244360568383659	393	flu	correct
rInfSC	0.256150088809947	393	flu	correct
data	0.809282537737814	393	flu	correct
alpha	0.221913854351687	394	flu	correct
beta	0.235679396092362	394	flu	correct
rSC	0.23794404973357	394	flu	correct
rInfSC	0.250177619893428	394	flu	correct
data	0.809389521829605	394	flu	correct
alpha	0.296891651865009	395	flu	correct
beta	0.228241563055062	395	flu	correct
rSC	0.222047069271758	395	flu	correct
rInfSC	0.240985790408526	395	flu	correct
data	0.805595032806917	395	flu	correct
alpha	0.246780639431616	396	flu	correct
beta	0.240763765541741	396	flu	correct
rSC	0.24300621669627	396	flu	correct
rInfSC	0.256527531083481	396	flu	correct
data	0.808934014672143	396	flu	correct
alpha	0.250643872113677	397	flu	correct
beta	0.243383658969805	397	flu	correct
rSC	0.237100355239787	397	flu	correct
rInfSC	0.260190941385435	397	flu	correct
data	0.810896477033335	397	flu	correct
alpha	0.228219360568384	398	flu	correct
beta	0.241296625222025	398	flu	correct
rSC	0.238343694493783	398	flu	correct
rInfSC	0.247979573712256	398	flu	correct
data	0.809601280552935	398	flu	correct
alpha	0.237477797513321	399	flu	correct
beta	0.244715808170515	399	flu	correct
rSC	0.24746891651865	399	flu	correct
rInfSC	0.250710479573712	399	flu	correct
data	0.809359657213307	399	flu	correct
alpha	0.208126110124334	4	flu	correct
beta	0.242095914742451	4	flu	correct
rSC	0.246269982238011	4	flu	correct
rInfSC	0.250999111900533	4	flu	correct
data	0.81036070345196	4	flu	correct
alpha	0.258015097690941	40	flu	correct
beta	0.228663410301954	40	flu	correct
rSC	0.238077264653641	40	flu	correct
rInfSC	0.251531971580817	40	flu	correct
data	0.807487632890978	40	flu	correct
alpha	0.242961811722913	400	flu	correct
beta	0.248556838365897	400	flu	correct
rSC	0.233947602131439	400	flu	correct
rInfSC	0.255106571936057	400	flu	correct
data	0.810481971163869	400	flu	correct
alpha	0.403174955595027	401	flu	correct
beta	0.228707815275311	401	flu	correct
rSC	0.227841918294849	401	flu	correct
rInfSC	0.256438721136767	401	flu	correct
data	0.804146751167894	401	flu	correct
alpha	0.296847246891652	402	flu	correct
beta	0.237899644760213	402	flu	correct
rSC	0.233681172291297	402	flu	correct
rInfSC	0.241163410301954	402	flu	correct
data	0.807035075060548	402	flu	correct
alpha	0.229928952042629	403	flu	correct
beta	0.251398756660746	403	flu	correct
rSC	0.241230017761989	403	flu	correct
rInfSC	0.252952930728242	403	flu	correct
data	0.8112755805017	403	flu	correct
alpha	0.245870337477798	404	flu	correct
beta	0.239231793960924	404	flu	correct
rSC	0.231771758436945	404	flu	correct
rInfSC	0.244404973357016	404	flu	correct
data	0.807359725827754	404	flu	correct
alpha	0.351154529307282	405	flu	correct
beta	0.239609236234458	405	flu	correct
rSC	0.237633214920071	405	flu	correct
rInfSC	0.252309058614565	405	flu	correct
data	0.806728360274632	405	flu	correct
alpha	0.313210479573712	406	flu	correct
beta	0.228530195381883	406	flu	correct
rSC	0.220692717584369	406	flu	correct
rInfSC	0.238143872113677	406	flu	correct
data	0.804322438456092	406	flu	correct
alpha	0.206061278863233	407	flu	correct
beta	0.248490230905861	407	flu	correct
rSC	0.248778863232682	407	flu	correct
rInfSC	0.24940053285968	407	flu	correct
data	0.812059500866526	407	flu	correct
alpha	0.219626998223801	408	flu	correct
beta	0.240563943161634	408	flu	correct
rSC	0.238343694493783	408	flu	correct
rInfSC	0.252886323268206	408	flu	correct
data	0.809335824147228	408	flu	correct
alpha	0.272713143872114	409	flu	correct
beta	0.236967140319716	409	flu	correct
rSC	0.23496891651865	409	flu	correct
rInfSC	0.243960923623446	409	flu	correct
data	0.806874080698432	409	flu	correct
alpha	0.191318827708703	41	flu	correct
beta	0.249267317939609	41	flu	correct
rSC	0.245759325044405	41	flu	correct
rInfSC	0.263121669626998	41	flu	correct
data	0.813279580699583	41	flu	correct
alpha	0.324600355239787	410	flu	correct
beta	0.236123445825933	410	flu	correct
rSC	0.232770870337478	410	flu	correct
rInfSC	0.238032859680284	410	flu	correct
data	0.804138433717342	410	flu	correct
alpha	0.282193605683837	411	flu	correct
beta	0.24091918294849	411	flu	correct
rSC	0.239631438721137	411	flu	correct
rInfSC	0.250177619893428	411	flu	correct
data	0.808728215503193	411	flu	correct
alpha	0.252064831261101	412	flu	correct
beta	0.236745115452931	412	flu	correct
rSC	0.252508880994671	412	flu	correct
rInfSC	0.238321492007105	412	flu	correct
data	0.807084721144755	412	flu	correct
alpha	0.187677619893428	413	flu	correct
beta	0.255017761989343	413	flu	correct
rSC	0.26161190053286	413	flu	correct
rInfSC	0.260190941385435	413	flu	correct
data	0.811346458761496	413	flu	correct
alpha	0.314165186500888	414	flu	correct
beta	0.228929840142096	414	flu	correct
rSC	0.224134103019538	414	flu	correct
rInfSC	0.237988454706927	414	flu	correct
data	0.805239287643386	414	flu	correct
alpha	0.299378330373002	415	flu	correct
beta	0.235190941385435	415	flu	correct
rSC	0.237455595026643	415	flu	correct
rInfSC	0.249977797513321	415	flu	correct
data	0.806121810123103	415	flu	correct
alpha	0.232526642984014	416	flu	correct
beta	0.251509769094139	416	flu	correct
rSC	0.251709591474245	416	flu	correct
rInfSC	0.247291296625222	416	flu	correct
data	0.811099696285517	416	flu	correct
alpha	0.221758436944938	417	flu	correct
beta	0.245714920071048	417	flu	correct
rSC	0.252198046181172	417	flu	correct
rInfSC	0.252886323268206	417	flu	correct
data	0.809389602699332	417	flu	correct
alpha	0.275510657193606	418	flu	correct
beta	0.236101243339254	418	flu	correct
rSC	0.231349911190053	418	flu	correct
rInfSC	0.243694493783304	418	flu	correct
data	0.806622477940262	418	flu	correct
alpha	0.265164298401421	419	flu	correct
beta	0.233170515097691	419	flu	correct
rSC	0.22946269982238	419	flu	correct
rInfSC	0.244138543516874	419	flu	correct
data	0.805020153216982	419	flu	correct
alpha	0.325310834813499	42	flu	correct
beta	0.238676731793961	42	flu	correct
rSC	0.235790408525755	42	flu	correct
rInfSC	0.246936056838366	42	flu	correct
data	0.806255279229225	42	flu	correct
alpha	0.231816163410302	420	flu	correct
beta	0.243738898756661	420	flu	correct
rSC	0.248912078152753	420	flu	correct
rInfSC	0.253996447602131	420	flu	correct
data	0.810151849608312	420	flu	correct
alpha	0.223889875666075	421	flu	correct
beta	0.240719360568384	421	flu	correct
rSC	0.237411190053286	421	flu	correct
rInfSC	0.247890763765542	421	flu	correct
data	0.810408733313542	421	flu	correct
alpha	0.225244227353464	422	flu	correct
beta	0.233170515097691	422	flu	correct
rSC	0.238499111900533	422	flu	correct
rInfSC	0.253530195381883	422	flu	correct
data	0.808535074446857	422	flu	correct
alpha	0.277864120781528	423	flu	correct
beta	0.24107460035524	423	flu	correct
rSC	0.239920071047957	423	flu	correct
rInfSC	0.250510657193606	423	flu	correct
data	0.809685922097591	423	flu	correct
alpha	0.24582593250444	424	flu	correct
beta	0.245359680284192	424	flu	correct
rSC	0.237411190053286	424	flu	correct
rInfSC	0.249822380106572	424	flu	correct
data	0.808327294580956	424	flu	correct
alpha	0.281527531083481	425	flu	correct
beta	0.237788632326821	425	flu	correct
rSC	0.239742451154529	425	flu	correct
rInfSC	0.241540852575488	425	flu	correct
data	0.806791144190239	425	flu	correct
alpha	0.326998223801066	426	flu	correct
beta	0.234258436944938	426	flu	correct
rSC	0.229151865008881	426	flu	correct
rInfSC	0.240497335701599	426	flu	correct
data	0.804803904284419	426	flu	correct
alpha	0.231749555950266	427	flu	correct
beta	0.241452042628774	427	flu	correct
rSC	0.241185612788632	427	flu	correct
rInfSC	0.25446269982238	427	flu	correct
data	0.808683931670382	427	flu	correct
alpha	0.299977797513321	428	flu	correct
beta	0.233370337477798	428	flu	correct
rSC	0.232770870337478	428	flu	correct
rInfSC	0.247313499111901	428	flu	correct
data	0.805532586885226	428	flu	correct
alpha	0.240341918294849	429	flu	correct
beta	0.236700710479574	429	flu	correct
rSC	0.233259325044405	429	flu	correct
rInfSC	0.247868561278863	429	flu	correct
data	0.809201666349729	429	flu	correct
alpha	0.259547069271758	43	flu	correct
beta	0.235546181172291	43	flu	correct
rSC	0.230284191829485	43	flu	correct
rInfSC	0.245670515097691	43	flu	correct
data	0.8059324539803	43	flu	correct
alpha	0.289187388987567	430	flu	correct
beta	0.238898756660746	430	flu	correct
rSC	0.234613676731794	430	flu	correct
rInfSC	0.245781527531083	430	flu	correct
data	0.80827699258261	430	flu	correct
alpha	0.281793960923623	431	flu	correct
beta	0.236389875666075	431	flu	correct
rSC	0.232482238010657	431	flu	correct
rInfSC	0.24389431616341	431	flu	correct
data	0.807693364165338	431	flu	correct
alpha	0.225843694493783	432	flu	correct
beta	0.251887211367673	432	flu	correct
rSC	0.254662522202487	432	flu	correct
rInfSC	0.260013321492007	432	flu	correct
data	0.811659826054638	432	flu	correct
alpha	0.252642095914742	433	flu	correct
beta	0.240563943161634	433	flu	correct
rSC	0.240119893428064	433	flu	correct
rInfSC	0.255017761989343	433	flu	correct
data	0.810890637985399	433	flu	correct
alpha	0.251265541740675	434	flu	correct
beta	0.242873001776199	434	flu	correct
rSC	0.234991119005329	434	flu	correct
rInfSC	0.250799289520426	434	flu	correct
data	0.807750565990852	434	flu	correct
alpha	0.283836589698046	435	flu	correct
beta	0.242162522202487	435	flu	correct
rSC	0.24404973357016	435	flu	correct
rInfSC	0.248445825932504	435	flu	correct
data	0.809088196189814	435	flu	correct
alpha	0.251887211367673	436	flu	correct
beta	0.247801953818828	436	flu	correct
rSC	0.251753996447602	436	flu	correct
rInfSC	0.252175843694494	436	flu	correct
data	0.810269168409273	436	flu	correct
alpha	0.226865008880995	437	flu	correct
beta	0.242029307282416	437	flu	correct
rSC	0.239387211367673	437	flu	correct
rInfSC	0.256283303730018	437	flu	correct
data	0.807814194433763	437	flu	correct
alpha	0.244449378330373	438	flu	correct
beta	0.235923623445826	438	flu	correct
rSC	0.238965364120782	438	flu	correct
rInfSC	0.248401420959147	438	flu	correct
data	0.809049816876818	438	flu	correct
alpha	0.314276198934281	439	flu	correct
beta	0.240808170515098	439	flu	correct
rSC	0.231793960923623	439	flu	correct
rInfSC	0.254795737122558	439	flu	correct
data	0.807876646825005	439	flu	correct
alpha	0.292206927175844	44	flu	correct
beta	0.247069271758437	44	flu	correct
rSC	0.243494671403197	44	flu	correct
rInfSC	0.252597690941385	44	flu	correct
